street,hero_hand,spr,in_position,num_players,board_texture,action_history
preflop,QhAh,10.0,0,12,empty,C
preflop,4cKd,10.0,0,11,empty,C
preflop,AcAh,10.0,0,13,empty,R
preflop,5d5c,10.0,0,13,empty,C
preflop,7h9s,10.0,0,13,empty,R
preflop,5d3h,10.0,0,13,empty,R
preflop,2cAc,10.0,0,13,empty,C
preflop,Td9d,10.0,0,13,empty,C
preflop,TdAd,10.0,0,13,empty,C
preflop,5c8s,10.0,0,13,empty,C
preflop,9s6s,10.0,0,12,empty,C
preflop,7cJc,10.0,0,12,empty,C
preflop,5h5s,10.0,0,11,empty,R
preflop,7dAh,10.0,0,13,empty,C
preflop,Jh9h,10.0,0,13,empty,C
preflop,8hAh,10.0,0,13,empty,C
preflop,7c7s,10.0,0,13,empty,R
preflop,9s8s,10.0,0,13,empty,R
preflop,AsKs,10.0,0,13,empty,R
preflop,9s9d,10.0,0,13,empty,C
preflop,8h7h,10.0,0,13,empty,C
preflop,Tc7c,10.0,0,13,empty,R
preflop,QdAc,10.0,0,13,empty,R
preflop,Qc8s,10.0,0,13,empty,C
preflop,4d5c,10.0,0,13,empty,C
preflop,JhKs,10.0,0,13,empty,C
preflop,2cKc,10.0,0,13,empty,C
preflop,KdAs,10.0,0,13,empty,R
preflop,9dTh,10.0,0,12,empty,C
preflop,8s7s,10.0,0,12,empty,C
preflop,QcJd,10.0,0,13,empty,R
preflop,KdJd,10.0,0,13,empty,R
preflop,7c7d,10.0,0,12,empty,C
preflop,7c8h,10.0,0,13,empty,C
preflop,Tc8c,10.0,0,13,empty,R
preflop,QcTd,10.0,0,13,empty,C
preflop,AcQd,10.0,0,13,empty,R
preflop,JcTc,10.0,0,13,empty,C
preflop,Ad8s,10.0,0,13,empty,R
preflop,4sAc,10.0,0,12,empty,C
preflop,8hKh,10.0,0,12,empty,R
preflop,4sJs,10.0,0,12,empty,C
preflop,Qc9d,10.0,0,13,empty,C
preflop,2h2c,10.0,0,13,empty,C
preflop,2d2h,10.0,0,13,empty,C
preflop,9sAh,10.0,0,13,empty,C
preflop,6s5h,10.0,0,13,empty,C
preflop,AdKd,10.0,0,13,empty,R
preflop,8s7h,10.0,0,13,empty,C
preflop,TsQc,10.0,0,13,empty,C
preflop,As9h,10.0,0,13,empty,C
preflop,2hAc,10.0,0,13,empty,C
preflop,ThJd,10.0,0,13,empty,C
preflop,Ks7s,10.0,0,11,empty,C
preflop,9sAd,10.0,0,12,empty,C
preflop,QhQd,10.0,0,13,empty,R
preflop,AsKd,10.0,0,13,empty,R
preflop,8d8h,10.0,0,13,empty,C
preflop,KhJd,10.0,0,13,empty,R
preflop,6d6h,10.0,0,13,empty,R
