street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,TsQh,10.0,0,13,rainbow,C
flop,TdTc,10.0,0,13,two-tone,C
flop,5d4d,10.0,0,13,two-tone,C
flop,7c5c,10.0,0,13,rainbow,C
flop,QdAs,10.0,0,13,rainbow,C
flop,Ah7h,10.0,0,13,rainbow,R
flop,KdJh,10.0,0,13,rainbow,C
flop,JhKc,10.0,0,13,two-tone,C
flop,AhKh,10.0,0,13,rainbow,R
flop,6h4h,10.0,0,12,two-tone,C
flop,ThTd,10.0,0,13,two-tone,C
flop,QcTc,10.0,0,13,rainbow,C
flop,Kc8s,10.0,0,13,two-tone,C
flop,Kd3h,10.0,0,13,two-tone,
flop,5hQh,10.0,0,13,rainbow,C
flop,2dQd,10.0,0,13,two-tone,C
flop,AdTh,10.0,0,13,two-tone,C
flop,KcAd,10.0,0,13,rainbow,C
flop,5h5s,10.0,0,13,rainbow,C
flop,KcAh,10.0,0,13,rainbow,
flop,QhJh,10.0,0,13,two-tone,
flop,AsTc,10.0,0,13,two-tone,C
flop,AdAs,10.0,0,13,two-tone,C
flop,7c3s,10.0,0,12,rainbow,C
flop,5dAc,10.0,0,13,two-tone,C
flop,3c4d,10.0,0,13,rainbow,C
flop,KcTs,10.0,0,13,two-tone,C
flop,TsTd,10.0,0,12,two-tone,C
flop,KdQd,10.0,0,5,rainbow,C
flop,6hJs,10.0,0,6,rainbow,C
flop,TcAc,10.0,0,10,rainbow,C
flop,6h7h,10.0,0,13,rainbow,C
flop,7c9c,10.0,0,12,two-tone,
flop,JdTh,10.0,0,13,two-tone,C
flop,7sTh,10.0,0,13,rainbow,C
flop,4hKs,10.0,0,13,monotone,C
flop,QsTs,10.0,0,13,two-tone,C
flop,2h2d,10.0,0,12,rainbow,C
flop,6c8c,10.0,0,11,two-tone,
flop,8hAh,10.0,0,12,two-tone,C
flop,AhTs,10.0,0,13,two-tone,C
flop,As2s,10.0,0,13,rainbow,C
flop,QsTs,10.0,0,13,two-tone,C
flop,2d2h,10.0,0,13,rainbow,
flop,3dKs,10.0,0,12,two-tone,
flop,Kc9s,10.0,0,12,two-tone,
flop,Jc7d,10.0,0,11,rainbow,C
flop,7s7h,10.0,0,13,rainbow,C
flop,TcJd,10.0,0,13,two-tone,R
flop,5hKh,10.0,0,13,rainbow,C
flop,2h7c,10.0,0,13,two-tone,C
flop,6c5c,10.0,0,13,two-tone,C
flop,Kd9c,10.0,0,10,monotone,C
flop,KcAs,10.0,0,12,two-tone,C
flop,JdAs,10.0,0,9,rainbow,C
flop,7sAc,10.0,0,11,two-tone,C
flop,Ts3s,10.0,0,12,rainbow,C
flop,9s9h,10.0,0,13,two-tone,R
flop,Js9s,10.0,0,13,two-tone,C
flop,3cTc,10.0,0,13,two-tone,C
flop,QhAh,10.0,0,12,two-tone,C
flop,4cKd,10.0,0,11,rainbow,C
flop,AcAh,10.0,0,13,two-tone,C
flop,5d5c,10.0,0,13,two-tone,C
flop,7h9s,10.0,0,13,two-tone,R
